"auto_id","screen_size","platform_count","platform_weight"
513,"COARSE",0,0
488,"COARSE",2,1
990,"COARSE",0,0
1775,"COARSE",0,0
995,"COARSE",0,0
120,"COARSE",0,0
112,"COARSE",0,0
111,"COARSE",1,1
108,"COARSE",1,1
507,"COARSE",1,1
993,"COARSE",0,0
500,"COARSE",0,0
516,"COARSE",1,3
497,"COARSE",1,1
472,"COARSE",2,1
467,"COARSE",0,0
113,"COARSE",0,0
119,"COARSE",1,2
1005,"COARSE",1,1
514,"COARSE",3,3
9219,"COARSE",0,0
4673,"COARSE",0,0
1923,"COARSE",2,2
4786,"COARSE",0,0
5393,"COARSE",0,0
4768,"COARSE",0,0
8110,"COARSE",0,0
4787,"COARSE",0,0
266,"COARSE",3,4
10621,"COARSE",0,0
12284,"COARSE",1,1
10386,"COARSE",2,4
5245,"COARSE",0,0
5416,"COARSE",0,0
5207,"COARSE",0,0
5265,"COARSE",0,0
10385,"COARSE",0,0
12279,"COARSE",1,1
12347,"COARSE",0,0
10571,"COARSE",0,0
10574,"COARSE",1,1
1159,"COARSE",1,1
12029,"COARSE",0,0
11034,"COARSE",1,2
5165,"COARSE",0,0
12019,"COARSE",0,0
10570,"COARSE",0,0
12223,"COARSE",1,1
10387,"COARSE",0,0
12232,"COARSE",1,1
10581,"COARSE",0,0
11019,"COARSE",2,4
11932,"COARSE",0,0
12240,"COARSE",0,0
5366,"COARSE",0,0
10936,"COARSE",1,1
5349,"COARSE",0,0
12355,"COARSE",0,0
11021,"COARSE",0,0
10579,"COARSE",1,1
12239,"COARSE",0,0
5285,"COARSE",0,0
12041,"COARSE",0,0
12236,"COARSE",2,1
10391,"COARSE",1,1
12350,"COARSE",0,0
10618,"COARSE",1,3
5286,"COARSE",0,0
11930,"COARSE",0,0
1171,"COARSE",0,0
3757,"COARSE",2,7
5402,"COARSE",0,0
12034,"COARSE",1,1
5228,"COARSE",0,0
11036,"COARSE",0,0
12225,"COARSE",0,0
261,"COARSE",4,3
