"auto_id","Unit","ID","DATACLASS","RAWMAT","SUPPORT","TECHNIQUE","FORM","FBTYPE1","FBTYPE2","CORETYPE","BIFTYPE","NORETEDGE","RETINT","T-FCHAR","T-FSURF","T-FLOC","PLATSURF","EXTPLAT","FACES","PLATFORMS","PLATTEC1","PLATTEC2","SCARMORPH","RETEDGE","CORTEX","DISCARD","EDGEDAMAGE","ALTERATION","PROXSCARS","SCARLENGTH","LENGTH","TQWIDTH","TQTHICK","MIDWIDTH","MIDTHICK","TIPWIDTH","WIDTH","LENTOWID","THICK","LENTOTHICK","ROEW1","ROET1","ROEW3","ROET3","PLATWIDTH","PLATTHICK","SMALLPW","BULB","EPA","WEIGHT"
10892,"H27",211,"PROXFLAKE","","FLAKE","NORMAL","NORMAL",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","CONCAVE",NA,"","","","UNI-DIRECT",NA,"0%"," ","EXT/INT","UNALTERED",0,-9999,26.35,-9999,-9999,-9999,-9999,-9999,15.645,-9999,4.55,-9999,-9999,-9999,-9999,-9999,14.325,4.315,-9999,-9999,-9999,4
10858,"G27",171,"PROXFLAKE","LOCALFLINT","FLAKE","NORMAL","NORMAL",48,-9999," ",NA,0,""," "," "," ","","",NA,"","","","",NA,"0%"," ","EXT/INT","",0,-9999,25.145,-9999,-9999,-9999,-9999,-9999,18.36,-9999,5.305,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3
10696,"G28",647,"CORE","LOCALFLINT","NODULE","NORMAL","CORE",-9999,-9999,"CHOPPING-T",NA,0,""," "," "," ","","",2,"1","ALTERNATE","","",NA,"40-60%","NONE","NONE","UNALTERED",2,38,56.94,-9999,-9999,-9999,-9999,-9999,47.605,-9999,22.53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,71
10698,"F29",594,"CORE","LOCALFLINT","","NORMAL","CORE",-9999,-9999,"INFORM",NA,0,""," "," "," ","","",2,"1","ALTERNATE","","ORTHO",NA,"0%","NONE","EXT/INT","UNALTERED",2,33.895,40.555,-9999,-9999,-9999,-9999,-9999,50.795,-9999,48.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,120
347,"E27",50,"COMPFLAKE","LOCALFLINT","FLAKE","CLACTON","ANGULAR",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","",NA,"","","","PLAIN",NA,"100%"," ","EXTERIOR","UNALTERED",0,-9999,81.52,-9999,-9999,-9999,-9999,-9999,61.635,-9999,21.66,-9999,-9999,-9999,-9999,-9999,36.285,12.055,-9999,-9999,-9999,171
11429,"D29",578,"COMPFLAKE","","FLAKE","NORMAL","ANGULAR",-9999,-9999," ",NA,0,""," "," "," ","PLAIN","",NA,"","","","PLAIN",NA,"100%"," ","NONE","",0,-9999,59.13,-9999,-9999,-9999,-9999,-9999,33.555,-9999,14.535,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,50
4162,"E28",256,"COMPTOOL","LOCALFLINT","FLAKE","NORMAL","NORMAL",62,-9999," ",NA,2,"","T-F","INTERIOR","DISTAL","PLAIN","CONVEX",NA,"","","","",NA,"60-90%"," ","EXTERIOR","UNALTERED",0,21.425,34.86,-9999,-9999,-9999,-9999,-9999,28.155,-9999,14.32,-9999,-9999,-9999,-9999,-9999,13,6.315,-9999,-9999,-9999,17
4055,"I43",4,"COMPTOOL","OTHERFLINT","FLAKE","LEVAL","NORMAL",43,-9999," ",NA,1,"","NONE"," "," ","FACETED","CONVEX",NA,"","","","",NA,"0%"," ","EXTERIOR","UNALTERED",0,-9999,60.165,-9999,-9999,-9999,-9999,-9999,37,-9999,7.15,-9999,-9999,-9999,-9999,-9999,13.265,6.575,-9999,-9999,-9999,23
4605,"F28",365,"CORE","LOCALFLINT","NODULE","NORMAL","CORE",-9999,-9999,"SING-SURF",NA,0,""," "," "," ","","",1,"2","PREPARED","SCAR","BI-DIRECT",NA,"","NONE","NONE","UNALTERED",2,29.04,59.01,-9999,-9999,-9999,-9999,-9999,50.795,-9999,38.74,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,172
7429,"E29",335,"PROXFLAKE","OTHERFLINT","FLAKE","NORMAL","ANGULAR",38,-9999," ",NA,0,""," "," "," ","PLAIN","SIDE-RIDGE",NA,"","","","",NA,"10-40%"," ","EXT/INT","OTHER",0,-9999,31.735,-9999,-9999,-9999,-9999,-9999,28.52,-9999,9.255,-9999,-9999,-9999,-9999,-9999,16.88,7.665,-9999,-9999,-9999,12
